DataProvider, AccessionNumber, SpecimenType, TypeStatus, Exsiccata, Flags, Notes, SpecimenLinks, DuplicatesAt, OtherCatalogNumbers, AssignedReferenceNumbers, TaxonName_C1, Determiner_C1, DeterminersRefNo_C1, IdentificationType_C1, IdentificationDateISO_C1, IdentifiersNote_C1, PreferredName_C1, VernacularName_C1, PartAffected_C1, Substrate_C1, AssociationType_C1, Association_C1, PreviousIdentifications_C1, TaxonName_C2, Determiner_C2, DeterminersRefNo_C2, IdentificationType_C2, IdentificationDateISO_C2, IdentifiersNote_C2, PreferredName_C2, VernacularName_C2, PartAffected_C2, Substrate_C2, AssociationType_C2, Association_C2, PreviousIdentifications_C2, OtherComponents, Contributor, ContributorRefNo, Isolator, IsolationDate, ReceivedFrom, ReceivedDate, SpecimenEvents, Country_CE1, VerbatimCountry_CE1, LandDistrict_CE1, NZAreaCode_CE1, EcologicalDistrict_CE1, Locality_CE1, Collector_CE1, CollectionDate_CE1, CollectionDateISO_CE1, Habitat_CE1, MicroHabitat_CE1, Altitude_CE1, LocalHeight_CE1, GeoReference_CE1, DecimalLatitude_CE1, DecimalLongitude_CE1, Abundance_CE1, Method_CE1, Keywords_CE1, Context_CE1, Country_CE2, VerbatimCountry_CE2, LandDistrict_CE2, NZAreaCode_CE2, EcologicalDistrict_CE2, Locality_CE2, Collector_CE2, CollectionDate_CE2, CollectionDateISO_CE2, Habitat_CE2, MicroHabitat_CE2, Altitude_CE2, LocalHeight_CE2, GeoReference_CE2, DecimalLatitude_CE2, DecimalLongitude_CE2, Abundance_CE2, Method_CE2, Keywords_CE2, Context_CE2, OtherCollectionEvents, SpecimenId, DataAccessLevel, IsDeaccessioned
"International Collection Of Micro-organisms","ICMP 22017","Fungal Culture","","","MPI: Restricted Culture; Price Category: Category 1","Characterised as: Sequencing of ITS and LSU gene.; Other Details: This is a new record for New Zealand. The organism has been reported from Australia as a turf pathogen and as a root growth promoter from USA.","","","","","Phialocephala bamuru P.T.W. Wong & C. Dong 2015","B. Weir","","Determination","2016-03-20","","Phialocephala bamuru P.T.W. Wong & C. Dong","","","","","","",,,,,,,,,,,,,,"","M. Toome","T16-01152",,,,,"","New Zealand","","","","","Auckland","","","","","","","","","","","","","","Unknown",,,,,,,,,,,,,,,,,,,,,"","B2352313-6EA9-424B-97A5-2A6754E164FC","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 10844","Fungal Culture","","","Price Category: Category 1","","","","","","Stagonosporopsis Died.","P.R. Johnston","","Determination","","[PRJ] reidentified on basis of DNA sequences","Stagonosporopsis Died.","","","","isolated from","isolated from Pisum sativum L.","TaxonName: Phoma pinodella (L.K. Jones) Morgan-Jones & Burch; TaxonName: Phoma medicaginis var. pinodella","Pisum sativum L.","","","Determination","","","Pisum sativum L.","pea","roots","","","","","","G. Laundon","LEV 12537b","","1977-12-01",,,"","New Zealand","New Zealand","","Wanganui","","Palmerston North","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","A9622005-18B6-4AB5-8B19-18651EAD5E90","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 11190","Fungal Culture","","","Price Category: Category 1","","","","","","Pyrenochaeta De Not.","","","Determination","","","Pyrenochaeta De Not. 1849 [1845]","","","","isolated from","isolated from Fragaria X ananassa Duch.","TaxonName: Pyrenochaeta sp.","Fragaria X ananassa Duch.","","","Determination","","","Potentilla","stawberry","root rot","","","","","","G. Laundon","LEV 19172","","1982-01-01",,,"","New Zealand","New Zealand","","Wellington","","Levin","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","B42C6DE2-2023-4DDB-AF17-7A06ECADF8C9","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 16203","Bacterial Culture","","","Price Category: Category 1","Other Details: Clianthus trap host growing in soil - GenBank DQ323133","","","","","Paenibacillus endophyticus Carro et al. 2013","B.S. Weir","","Determination","2014-03-14","re-ID based on full 16S sequence","Paenibacillus endophyticus Carro et al. 2013","","","","isolated from","isolated from Clianthus puniceus","TaxonName: Paenibacillus sp., Determiner: B. Weir; TaxonName: Paenibacillus sp.","Clianthus puniceus","","","Determination","","","Clianthus puniceus (G.Don) Lindl.","","root nodule","","","","","","B. Weir","BSW79","","2005-04-11",,,"","New Zealand","New Zealand","","Nelson","","Nelson Lakes National Park","P.R. Johnston","Apr 2005","2005-04-00","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","81613036-98A3-4FBB-AB0F-1313DDBB2A3B","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 16243","Bacterial Culture","","","Price Category: Category 1","Other Details: rhizosphere soil of broom","","","","","Bradyrhizobium sp.","J.M. young","","Determination","","","Bradyrhizobium Jordan 1982","","","","isolated from","isolated from Cytisus scoparius","TaxonName: Bradyrhizobium sp.","Cytisus scoparius","","","Determination","","","Cytisus scoparius (L.) Link","","root nodule","","","","","","J.M. Young","B4","","2005-11-10",,,"","New Zealand","New Zealand","","Auckland","","Glasshouse grown plant, Landcare Research, Glen Innes","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","886C3F87-BFF2-455E-BB5D-165CD8C0812D","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 16240","Bacterial Culture","","","Price Category: Category 1","Other Details: rhizosphere soil of broom; Growth Conditions: YMA-Ca, R2A @ 26 C for 7-21 days","","","","","Bradyrhizobium sp.","J.M. Young","","Determination","","","Bradyrhizobium Jordan 1982","","","","isolated from","isolated from Cytisus scoparius","TaxonName: Bradyrhizobium sp.","Cytisus scoparius","","","Determination","","","Cytisus scoparius (L.) Link","","root nodule","","","","","","J.M. Young","A1","","2005-11-10",,,"","New Zealand","New Zealand","","Auckland","","Glasshouse grown plant, Landcare Research, Glen Innes","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","C6779894-D03F-4120-B4D5-2C8832FBF835","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 16242","Bacterial Culture","","","Price Category: Category 1","Other Details: rhizosphere soil of broom; Growth Conditions: YMA-Ca, R2A @ 26 C for 7-21 days","","","","","Bradyrhizobium sp.","J.M. Young","","Determination","","","Bradyrhizobium Jordan 1982","","","","isolated from","isolated from Cytisus scoparius","TaxonName: Bradyrhizobium sp.","Cytisus scoparius","","","Determination","","","Cytisus scoparius (L.) Link","","root nodule","","","","","","J.M. Young","B2","","2005-11-10",,,"","New Zealand","New Zealand","","Auckland","","Glasshouse grown plant, Landcare Research, Glen Innes","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","8CDFC284-D254-4596-A785-D6EB51B09917","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 16251","Bacterial Culture","","","Price Category: Category 1","Other Details: rhizosphere soil of Carmichaelia flagelliformis, Urewera National Park; Growth Conditions: YMA, R2A @ 26 C for 3-7 days
","","","","","Mesorhizobium Jarvis et al. 1997","J.M. Young","","Determination","","","Mesorhizobium Jarvis et al. 1997","","","","isolated from","isolated from Clianthus puniceus","TaxonName: Mesorhizobium sp.","Clianthus puniceus","","","Determination","","","Clianthus puniceus (G.Don) Lindl.","","root nodule","","","","","","J.M. Young","D19","","2005-11-10",,,"","New Zealand","New Zealand","","Auckland","","Landcare Research glasshouse grown plant, Glen Innes","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","1D0C7E5A-598C-40C0-A999-80B9DA4C247D","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 16252","Bacterial Culture","","","Price Category: Category 1","Other Details: rhizosphere soil of Carmichaelia flagelliformis, Urewera National Park","","","","","Rhizobium leguminosarum (Frank 1879) Frank 1889","J.M. Young","","Determination","","","Rhizobium leguminosarum (Frank 1879) Frank","","","","isolated from","isolated from Clianthus puniceus","TaxonName: Rhizobium leguminosarum","Clianthus puniceus","","","Determination","","","Clianthus puniceus (G.Don) Lindl.","","root nodule","","","","","","J.M. Young","D16",,,,,"","New Zealand","New Zealand","","Auckland","","Landcare Research glasshouse grown plant, Glen Innes","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","BF727C19-1E24-47A7-8459-B60E68CF60F6","Public","",
"International Collection Of Micro-organisms","ICMP 16253","Bacterial Culture","","","Price Category: Category 1","Other Details: rhizosphere soil of Carmichaelia flagelliformis","","","","","Rhizobium Frank 1889","J.M. Young","","Determination","","","Rhizobium Frank 1889","","","","isolated from","isolated from Clianthus puniceus","TaxonName: Rhizobium sp.","Clianthus puniceus","","","Determination","","","Clianthus puniceus (G.Don) Lindl.","","root nodule","","","","","","J.M. Young","C7","","2005-11-08",,,"","New Zealand","New Zealand","","","","Landcare Research glasshouse grown plant, Glen Innes","J.M. Young","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","6D0F0A45-F54F-44D3-A335-B6B44B86B383","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 16245","Bacterial Culture","","","Price Category: Category 1","Other Details: rhizosphere soil of Carmichaelia flagelliformis, Urewera National Park; Growth Conditions: YMA-Ca, R2A @ 26 C for 7-21 days","","","","","Bradyrhizobium sp.","J.M. Young","","Determination","","","Bradyrhizobium Jordan 1982","","","","isolated from","isolated from Cytisus scoparius","TaxonName: Bradyrhizobium sp.","Cytisus scoparius","","","Determination","","","Cytisus scoparius (L.) Link","","root nodule","","","","","","J.M. Young","D12","","2005-11-10",,,"","New Zealand","New Zealand","","Auckland","","Landcare Research glasshouse grown plant, Glen Innes","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","E835096F-71BD-4934-B072-67F3A35B950D","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 16246","Bacterial Culture","","","Price Category: Category 1","Other Details: rhizosphere soil of Carmichaelia flagelliformis, Urewera National Park; Growth Conditions: YMA, R2A @ 26 C for 3-7 days
","","","","","Mesorhizobium Jarvis et al. 1997","J.M. Young","","Determination","","","Mesorhizobium Jarvis et al. 1997","","","","isolated from","isolated from Clianthus puniceus","TaxonName: Mesorhizobium sp.","Clianthus puniceus","","","Determination","","","Clianthus puniceus (G.Don) Lindl.","","root nodule","","","","","","J.M. Young","D5","","2005-11-10",,,"","New Zealand","New Zealand","","Auckland","","Landcare Research glasshouse grown plant, Glen Innes","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","FD771A02-5402-4014-BB67-7373D7D7D872","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 16244","Bacterial Culture","","","Price Category: Category 1","Other Details: rhizosphere soil of Carmichaelia flagelliformis, Urewera National Park; Growth Conditions: YMA-Ca, R2A @ 26 C for 7-21 days","","","","","Bradyrhizobium sp.","J.M. Young","","Determination","","","Bradyrhizobium Jordan 1982","","","","isolated from","isolated from Cytisus scoparius","TaxonName: Bradyrhizobium sp.","Cytisus scoparius","","","Determination","","","Cytisus scoparius (L.) Link","","root nodule","","","","","","J.M. Young","D2","","2005-11-10",,,"","New Zealand","New Zealand","","Auckland","","Landcare Research glasshouse grown plant, Glen Innes","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","F5CF1C91-4F9A-4EE1-9DB0-86C3547EB105","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 16249","Bacterial Culture","","","Price Category: Category 1","Other Details: rhizosphere soil of Carmichaelia flagelliformis; Growth Conditions: YMA, R2A @ 26 C for 3-7 days
","","","","","Mesorhizobium Jarvis et al. 1997","J.M. Young","","Determination","","","Mesorhizobium Jarvis et al. 1997","","","","isolated from","isolated from Clianthus puniceus","TaxonName: Mesorhizobium sp.","Clianthus puniceus","","","Determination","","","Clianthus puniceus (G.Don) Lindl.","","root nodule","","","","","","J.M. Young","C2","","2005-11-08",,,"","New Zealand","New Zealand","","Auckland","","Landcare Research glasshouse grown plant, Glen Innes","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","A93DB990-565F-4BA0-A860-008CE7A43F8C","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 16250","Bacterial Culture","","","Price Category: Category 1","Other Details: rhizosphere soil of Carmichaelia flagelliformis; Growth Conditions: YMA, R2A @ 26 C for 3-7 days
","","","","","Mesorhizobium Jarvis et al. 1997","J.M. Young","","Determination","","","Mesorhizobium Jarvis et al. 1997","","","","isolated from","isolated from Clianthus puniceus","TaxonName: Mesorhizobium sp.","Clianthus puniceus","","","Determination","","","Clianthus puniceus (G.Don) Lindl.","","root nodule","","","","","","J.M. Young","C5","","2005-11-08",,,"","New Zealand","New Zealand","","Auckland","","Landcare Research glasshouse grown plant, Glen Innes","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","A1412A4F-35F1-45D8-A501-6642588A6A69","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 16248","Bacterial Culture","","","Price Category: Category 1","Other Details: rhizosphere soil of kowhai, Urewera National Park; Growth Conditions: YMA-Ca, R2A @ 26 C for 7-21 days","","","","","Bradyrhizobium sp.","J.M. Young","","Determination","","","Bradyrhizobium Jordan 1982","","","","isolated from","isolated from Lotus corniculatus","TaxonName: Bradyrhizobium sp.","Lotus corniculatus","","","Determination","","","Lotus corniculatus L. 1753","","root nodule","","","","","","J.M. Young","S01-5","","2005-08-01",,,"","New Zealand","New Zealand","","Auckland","","Landcare Research glasshouse grown plant, Glen Innes","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","3708904A-E6DF-4C46-B905-597DCA3C79C6","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 16247","Bacterial Culture","","","Price Category: Category 1","Other Details: rhizosphere soil of kowhai, Urewera National Park; Growth Conditions: YMA-Ca, R2A @ 26 C for 7-21 days","","","","","Bradyrhizobium sp.","J.M. Young","","Determination","","","Bradyrhizobium Jordan 1982","","","","isolated from","isolated from Lotus corniculatus","TaxonName: Bradyrhizobium sp.","Lotus corniculatus","","","Determination","","","Lotus corniculatus L. 1753","","root nodule","","","","","","J.M. Young","S01-1","","2005-08-01",,,"","New Zealand","New Zealand","","Auckland","","Landcare Research glasshouse grown plant, Glen Innes","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","36F206BA-74D6-47DB-A41D-5B6C578C3626","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 16186","Fungal Culture","","","Price Category: Category 1","","","","","","Volutella ciliata (Alb. & Schwein.) Fr.","","","Determination","","","Volutella ciliata (Alb. & Schwein.) Fr. 1832","","","Rhizosphere soil of Phormium (flax) roots","","","TaxonName: Volutella ciliata",,,,,,,,,,,,,,"","N. Waipara","","","2004-04-30",,,"","New Zealand","New Zealand","","Auckland","","Dingle Dell","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","E81C62EF-8D14-4EF0-907D-6897C44C1AF3","Public","",
"International Collection Of Micro-organisms","ICMP 19427","Fungal Culture","","","MPI: Restricted Culture; Price Category: Category 1","","","","","","Ilyonectria robusta (A.A. Hildebr.) A. Cabrel & Crous","R. Thangavel","T11-04580C","Determination","","","Ilyonectria robusta (A.A. Hildebr.) A. Cabral & Crous 2012 [2011]","","","","isolated from","isolated from Malus sp.","","Malus sp.","","","Determination","","","Malus","Apple","Root","","","","","","R. Thangavel","T11-04580C","R. Thangavel","2012-01-01",,,"","New Zealand","New Zealand","","Nelson","","Nelson","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","45BF9B27-A3A8-412F-ACDF-39A6D522DB89","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 19841","Bacterial Culture","","","Price Category: Category 1","Characterised as: By sequencing 16S rRNA sequencing ; Growth Conditions: YMA @ 20-25 C for 5 days","","","","","Bradyrhizobium sp.","W. Y. Y. Liu ","UE2N3","Determination","2013-06-03","","Bradyrhizobium Jordan 1982","","","","isolated from","isolated from Ulex europaeus L.","","Ulex europaeus L.","","","Determination","","","Ulex europaeus L.","Gorse","Root","","isolated from","","","","W. Y. Y. Liu ","UE2N3","W. Y. Y. Liu ","2011-08-22",,,"","New Zealand","New Zealand","","Mid Canterbury","","Selwyn","W. Y. Y. Liu","22 Aug 2011","2011-08-22","","","","","","","","","","","Unknown",,,,,,,,,,,,,,,,,,,,,"","2762645F-6E41-495F-911E-AC3FE6570DD4","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 10189","Fungal Culture","","","Price Category: Category 1","","","","","","Aspergillus cervinus Massee","","","Determination","","","Aspergillus cervinus Massee 1914","","","","isolated from","isolated from Fragaria sp.","TaxonName: Aspergillus cervinus","Fragaria sp.","","","Determination","","","Potentilla","","roots","","","","","","G.F. Laundon","11924c","","1977-07-01",,,"","New Zealand","New Zealand","","Wellington","","Levin","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","F8DC93D0-B214-414D-8421-B573B5782F66","Public","",
"International Collection Of Micro-organisms","ICMP 10302","Fungal Culture","","","Price Category: Category 1","","","","","","Botryosphaeria stevensii Shoemaker","","","Determination","","","Diplodia mutila (Fr.) Fr 1849","","","","isolated from","isolated from Pisum sativum L.","TaxonName: Botryosphaeria stevensii","Pisum sativum L.","","","Determination","","","Pisum sativum L.","pea","roots","","","","","","G. Laundon","LEV 12357c","","1977-12-01",,,"","New Zealand","New Zealand","","Wanganui","","Palmerston North","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","99A14D3C-98C2-40AE-96B4-E2AD366F14D9","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 10477","Fungal Culture","","","Price Category: Category 1","","","","","","Microdochium dimerum (Penz.) Arx","","","Determination","","","Bisifusarium dimerum (Penz.) L. Lombard & Crous","","","","isolated from","isolated from Beta vulgaris L.","TaxonName: Microdochium dimerum","Beta vulgaris L.","","","Determination","","","Beta vulgaris L.","red beet","root lesions","","","","","","G. Laundon","LEV 14731c","","1979-04-01",,,"","New Zealand","New Zealand","","Hawkes Bay","","Hastings","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","D3F030E8-2E92-40A7-99AD-7417B199CF22","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 10475","Fungal Culture","","","Price Category: Category 1","","","","","","Fusarium culmorum (W.G. Sm.) Sacc.","","","Determination","","","Fusarium culmorum (W.G. Sm.) Sacc. 1895","","","","isolated from","isolated from Fragaria sp.","TaxonName: Fusarium culmorum","Fragaria sp.","","","Determination","","","Potentilla","","roots","","","","","","G. Laundon","LEV 11937c","","1977-01-01",,,"","New Zealand","New Zealand","","Wellington","","Levin","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","12ED27A1-1B8F-43B9-B2F4-C4C4AB53EBFD","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 10496","Fungal Culture","","","Price Category: Category 1; MPI: Restricted Culture; MPI: Unwanted Organism","","","NRRL","38544","","Fusarium oxysporum Schltdl.","","","Determination","","Haplotype ST 221 sensu O'Donnell et al. Fungal Genetics and Biology 46: 936-948, 2009","Fusarium oxysporum Schltdl.","","","","isolated from","isolated from Fragaria sp.","TaxonName: Fusarium oxysporum","Fragaria sp.","","","Determination","","","Potentilla","","root rot","","","","","","G. Laundon","LEV 11774",,,,,"","New Zealand","New Zealand","","Wellington","","Levin","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","A2CCF58C-7989-49EB-B1D4-14F9F988555C","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 10546","Fungal Culture","","","Price Category: Category 1","","","","","","Gibberella intricans Wollenw.","","","Determination","","","Fusarium equiseti (Corda) Sacc. 1886","","","","isolated from","isolated from Beta vulgaris L.","TaxonName: Gibberella intricans","Beta vulgaris L.","","","Determination","","","Beta vulgaris L.","red beet","roots","","","","","","G. Laundon","LEV 14731b","","1979-04-01",,,"","New Zealand","New Zealand","","Hawkes Bay","","Hastings","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","6A1256EF-7753-4091-B59C-7B454FF86B24","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 10545","Fungal Culture","","","Price Category: Category 1","","","","","","Gibberella intricans Wollenw.","","","Determination","","","Fusarium equiseti (Corda) Sacc. 1886","","","","isolated from","isolated from Asparagus sp.","TaxonName: Gibberella intricans","Asparagus sp.","","","Determination","","","Asparagus","","roots","","","","","","G. Laundon","LEV 13627","","1978-09-01",,,"","New Zealand","New Zealand","","Hawkes Bay","","Hastings","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","0C02B9EA-0F02-4EDC-8B10-8D9D26585CE2","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 10547","Fungal Culture","","","Price Category: Category 1","","","","","","Hypocreales Lindau 1897","P.R. Johnston","","Determination","2016-07-00","redet based on EF1 a sequence","Hypocreales Lindau 1897","","","","isolated from","isolated from Asparagus sp.","TaxonName: Gibberella intricans Wollenw.; TaxonName: Gibberella intricans","Asparagus sp.","","","Determination","","","Asparagus","","roots","","","","","","G. Laundon","LEV 15803c","","1979-11-01",,,"","New Zealand","New Zealand","","Hawkes Bay","","Hastings","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","1D783A26-49D1-4B20-BD1B-C924660929BB","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 10433","Fungal Culture","","","Price Category: Category 1","","","","","","Monographella nivalis (Schaffnit) E. Müll.","","","Determination","","","Microdochium nivale (Fr.) Samuels & I.C. Hallett","","","","isolated from","isolated from Festuca arundinacea Schreb.","TaxonName: Monographella nivalis","Festuca arundinacea Schreb.","","","Determination","","","Schedonorus arundinaceus (Schreb.) Dumort.","tall fescue","roots","","","","","","P.G. Broadhurst","M340",,,,,"","New Zealand","New Zealand","","Auckland","","Auckland","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","2193581D-35B3-4E4A-BF2A-0E293BEC87A9","Public","",
"International Collection Of Micro-organisms","ICMP 10543","Fungal Culture","","","Price Category: Category 1","","","","","","Gibberella gordonii C. Booth","","","Determination","","","Fusarium heterosporum Nees & T. Nees 1818","","","","isolated from","isolated from Lycopersicon esculentum Mill.","TaxonName: Gibberella gordonia","Lycopersicon esculentum Mill.","","","Determination","","","Solanum lycopersicum L.","tomato","roots","","","","","","G. Laundon","LEV 17474","","1980-12-01",,,"","New Zealand","New Zealand","","Wellington","","Levin","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","36CA002E-216E-4938-8CF3-5FAE0EF29854","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 10531","Fungal Culture","","","Price Category: Category 1","","","","","","Gibberella avenacea R.J. Cook","","","Determination","","","Fusarium avenaceum (Fr.) Sacc. 1886","","","","isolated from","isolated from Trifolium repens L.","TaxonName: Gibberella avenacea","Trifolium repens L.","","","Determination","","","Trifolium repens L.","white clover","roots","","","","","","G. Laundon","LEV 15822b","","1979-11-01",,,"","New Zealand","New Zealand","","Hawkes Bay","","Hastings","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","27A047EE-D533-4AF2-807A-E630441C527C","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 15901","Fungal Culture","","","Price Category: Category 1","","","","","","Fusarium culmorum (W.G. Sm.) Sacc.","M. Braithwaite","","Determination","","","Fusarium culmorum (W.G. Sm.) Sacc. 1895","","","","isolated from","isolated from Matthiola sp.","TaxonName: Fusarium culmorum","Matthiola sp.","","","Determination","","","Matthiola","stock","root rot","","","","","","M. Braithwaite","03/05/1150","","2005-04-01",,,"Ex, actioned by J. Pay on 2005-04-01","New Zealand","New Zealand","","","","Canterbury","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","560B4D34-C285-4CFD-8567-B25A524B4569","Public","",
"International Collection Of Micro-organisms","ICMP 15900","Fungal Culture","","","Grade: a; Price Category: Category 1","Characterised as: identification confirmed by sequencing of the ribosomal DNA and comparison with GenBank (Ridgway); Growth Conditions: PDA 22 C for 21 days using 12 hr light/12 hr dark","","","","","Phaeomoniella chlamydospora (W. Gams, Crous, M.J. Wingf. & L. Mugnai) Crous & W. Gams","H. Ridgway","","Determination","","","Phaeomoniella chlamydospora (W. Gams, Crous, M.J. Wingf. & L. Mugnai) Crous & W. Gams","","","","isolated from","isolated from Vitis vinifera","TaxonName: Phaeomoniella chlamydospora","Vitis vinifera","","","Determination","","","Vitis vinifera L.","grapevine (wine grapes)","trunk base of rootstock mothervine","","","","","","H. Ridgway","A21","","2000-01-01",,,"Ex, actioned by S. Whiteman on 2000-01-01","New Zealand","New Zealand","","Auckland","","Auckland","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","7AA83DD5-67FE-4DC0-9238-F8D0F4E13FDF","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 11003","Fungal Culture","","","Price Category: Category 1","Pathogenic to: pumpkin (Rees-George)","","","","","Nectria haematococca Berk. & Broome","","","Determination","","","Fusarium haematococcum Nalim, Samuels & Geiser","","","","isolated from","isolated from Cucurbita maxima Duch.","TaxonName: Nectria haematococca","Cucurbita maxima Duch.","","","Determination","","","Cucurbita maxima Duchesne","pumpkin","root","","","","","","B.T. Hawthorne","BTH975","","1988-12-01",,,"Ex, actioned by J. Rees-George on 1988-12-01","New Zealand","New Zealand","","Auckland","","Kumeu","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","FD692A48-0E02-4A94-91F1-715CB77D81F1","Public","",
"International Collection Of Micro-organisms","ICMP 11004","Fungal Culture","","","Price Category: Category 1","Pathogenic to: buttercup squash (Rees-George)","","","","","Nectria haematococca Berk. & Broome","","","Determination","","","Fusarium haematococcum Nalim, Samuels & Geiser","","","","isolated from","isolated from Cucurbita maxima Duch.","TaxonName: Nectria haematococca","Cucurbita maxima Duch.","","","Determination","","","Cucurbita maxima Duchesne","buttercup","root rot","","","","","","B.T. Hawthorne","BTH976","","1988-12-01",,,"Ex, actioned by J. Rees-George on 1988-12-01","New Zealand","New Zealand","","Auckland","","Kumeu","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","C2DD5C70-C292-49ED-9CC0-8030FBF76F24","Public","",
"International Collection Of Micro-organisms","ICMP 11005","Fungal Culture","","","Price Category: Category 1","Pathogenic to: buttercup squash (Rees-George)","","","","","Nectria haematococca Berk. & Broome","","","Determination","","","Fusarium haematococcum Nalim, Samuels & Geiser","","","","isolated from","isolated from Cucurbita maxima Duch.","TaxonName: Nectria haematococca","Cucurbita maxima Duch.","","","Determination","","","Cucurbita maxima Duchesne","buttercup squash","root rot","","","","","","B.T. Hawthorne","BTH977","","1988-12-01",,,"Ex, actioned by J. Rees-George on 1988-12-01","New Zealand","New Zealand","","Auckland","","Kumeu","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","C8969EF4-0845-433F-A9C8-68FF9F1A0AD2","Public","",
"International Collection Of Micro-organisms","ICMP 16254","Bacterial Culture","","","Price Category: Category 1","Other Details: rhizosphere soil of Carmichaelia flagelliformis","","","","","Rhizobium Frank 1889","J.M. Young","","Determination","","","Rhizobium Frank 1889","","","","isolated from","isolated from Clianthus puniceus","TaxonName: Rhizobium sp.","Clianthus puniceus","","","Determination","","","Clianthus puniceus (G.Don) Lindl.","","root nodule","","","","","","J.M. Young","C21","","2005-11-08",,,"","New Zealand","New Zealand","","Auckland","","Landcare Research glasshouse grown plant, Glen Innes","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","17ED1B54-BC1C-4660-874A-64B0DDB24F1D","Public","FALSE",
